"IDs","Arabinose","Galactose","Glucose","Xylose","Mannose","insoluble.lignin","soluble.lignin","holocellulose","alpha.cellulose","hemicellulose","Syringyl.lignin.monomers....","Fiber.length.Lw..length.weighted.","MFA..first.growth.ring.from.bark.","MFA..first.growth.ring.from.pith.","X.crystallinity..w_c.","average.wood.density","total.lignin"
"STHB-21-2",0.477500888,0.117929851,50.01391995,20.08135297,3.114696702,15.96273292,2.666883117,68.10466761,38.64480991,29.4598577,70.86,0.949,18.44,18.08,47.17,394.33,18.62961604
"STHB-21-3",0.604051481,0.330577563,53.86038623,19.45832709,3.133760746,19.62102689,2.605328962,67.69533815,39.79437882,27.90095933,71.95,0.95,16.29,19.76,48.31,382.98,22.22635586
"STHB-21-4",0.582237576,0.690016994,61.66087377,18.47580942,2.471439596,17.38857502,2.050875992,70.81306463,40.20922143,30.6038432,67.69,1.031,12.69,20.48,50.51,406.18,19.43945101
"STHB-21-5",0.455795653,0.263392186,53.64135202,18.83221709,2.727585139,18.99224806,2.807464177,66.46433991,40.60711885,25.85722106,71.98,0.99,17.13,20.48,53.19,360.3,21.79971224
"TLKH-11-5",0.470860475,0.293145932,46.46166657,16.85624953,2.286749104,19.01315789,2.076465311,66.85323383,40.12006589,26.73316794,68.66,0.856,23.24,23.48,49.5,432.35,21.08962321
"TOBA-23-2",0.426490389,0.433056751,54.31990374,17.65112057,2.162141182,17.83887468,2.424465241,69.41266209,38.82725223,30.58540986,75.08,0.829,14.73,17.61,51.28,425.56,20.26333992
"TOBA-23-5",0.503096455,0.25799072,48.47060216,19.13438794,3.424284157,18.54870426,2.748230796,67.4862058,37.69191738,29.79428843,73.69813593,1.052,18.86333125,20.0013125,45.57724252,377.66,21.29693505
"TOBA-23-4",0.495934862,0.424127619,52.08616186,18.70817144,3.162406612,17.5210902,3.024423338,69.37799043,39.53361754,29.84437289,72.02,1,15.33,20.96,45.05,408.05,20.54551354
"TOBB-23-2",0.476993403,0.27563699,47.57899274,18.5965098,4.162483519,20.33898305,2.515497215,65.80278129,37.38796519,28.41481609,71.8,0.94,18.08,20.48,42.02,381.32,22.85448027
"TOBB-23-3",0.539254108,0.080717282,45.93537764,16.94281168,3.163318685,19.93650794,2.62989899,70.12578616,42.1109918,28.01479436,73.64,0.99,18.44,20,48.54,389.82,22.56640693
"TOBB-23-4",0.48660094,0.310354569,51.06103674,18.47842738,3.095061676,18.53785901,2.468282696,70.73825503,40.32326839,30.41498664,70.52,1.094,18.08,21.92,49.02,422.89,21.0061417
"TOBB-23-5",0.501383686,0.492994145,46.99564456,17.48223567,3.686470605,20.05060089,1.998332471,66.69014085,36.49746094,30.19267991,70.12,0.909,20.48,20.96,49.5,396.93,22.04893336
"VNDL-27-3",0.562888576,0.315199975,51.24445777,19.46245189,3.513961569,18.52340145,2.166027447,73.58616101,41.43105649,32.15510452,67.47,0.986,18.2,22.76,49.75,428.46,20.6894289
"VNDL-27-4",0.527346803,0.446802878,57.13341478,17.58051008,2.870847054,19.14473684,1.967793062,70.66142764,38.82162726,31.83980038,65.96,0.965,15.33,19.16,50.51,429.6,21.1125299
"VNDL-27-5",0.557732335,0.338203766,48.28268317,17.43964409,3.435166627,19.7109067,2.123880062,68.00254453,39.04006605,28.96247848,69.41,0.913,15.69,20.6,51.28,440.47,21.83478676
"WELC-27-1",0.504152657,0.507864894,53.63494895,18.04206837,3.301042113,18.30550402,2.513745994,71.53895686,41.47166405,30.06729281,73.07,0.777,17.85,16.77,48.31,450.67,20.81925001
"WELC-27-2",0.509374834,0.457724621,52.6499191,20.10412176,3.051313308,19.26605505,2.358096032,70.68027211,42.13332209,28.54695002,70.36,0.821,18.68,22.04,47.62,430.9,21.62415108
"WELC-27-3",0.512130035,1.043802716,54.70737492,19.79337624,3.415776073,18.22194199,2.768542932,72.16850829,41.2932339,30.87527439,70.2,0.867,19.04,18.2,47.85,411.71,20.99048492
"WELC-27-4",0.495908309,0.481057553,48.38216661,17.23125789,2.783330632,18.15245478,2.671041813,69.73684211,42.51818782,27.21865428,69.88,0.87,17.25,19.52,49.5,426.38,20.82349659
"WELC-27-5",0.513618019,0.208905227,50.07754324,18.21463217,3.053400649,18.41415465,2.435511736,69.0794097,40.15245174,28.92695795,69.93,1.168,17.96,17.96,44.64,433.47,20.84966639
"WHTE-28-1",0.549198771,0.389902732,50.95570266,18.30864794,3.609338943,20.02617801,2.597215612,67.84968685,37.61323757,30.23644928,73.11,0.747,17.25,19.52,47.17,381.93,22.62339362
"WHTE-28-3",0.556242583,0.374661067,46.55330106,18.21387503,2.855301954,18.76653868,2.594023445,67.64436603,37.13245361,30.51191242,74.22646896,0.83,17.964925,21.0794,48.3103062,386.07,21.36056212
"WHTE-28-4",0.558893499,0.141762478,45.80818257,19.24580258,2.834671161,20.03828973,2.835470209,70.24291498,38.60274038,31.6401746,72.3,0.903,22.64,24.91,46.08,415.88,22.87375994
"WHTE-28-5",0.482605055,0.338626373,56.77740574,19.52247102,3.532431082,19.25614877,2.27905328,70.18469657,41.03030855,29.15438802,69.64,0.974,18.44,21.32,48.08,395.63,21.53520205
"WLOW-15-5",0.63815034,0.502213319,52.55823207,18.74260196,2.766442551,17.81170483,2.398826047,70.10723861,41.43795332,28.66928529,70.35,0.82,16.53,19.28,59.17,441.12,20.21053088
"YALD-27-2",0.485521894,0.588724835,51.72685568,18.14871802,3.211051098,18.61074705,2.902746336,67.94612795,40.27703385,27.66909409,74.91,0.831,18.8,18.92,45.25,392.24,21.51349339
"YALD-27-3",0.550328071,0.472022068,48.64973986,18.91908181,3.525774975,20.64724919,2.998999706,73.61791463,41.22842902,32.3894856,72.61,0.888,17.96,18.2,44.25,377.46,23.6462489
"YALD-27-4",0.507881533,0.258959623,46.28460824,17.78763849,3.749085922,20.16861219,2.541091852,66.29526462,37.56894937,28.72631526,68.35,0.866,18.08,19.88,43.86,358.41,22.70970404
"YALE-27-2",0.517453325,0.337492879,53.17015672,17.55719941,2.809826669,19.97421352,2.530793024,69.15518761,40.42377132,28.73141629,69.74942542,1.0625,17.06651875,18.98311875,50.64881777,449.3,22.50500655
"YALE-27-3",0.600544779,0.521607486,52.33776187,17.20428409,3.05720751,19.57605985,1.771537066,66.8190725,36.13506404,30.68400846,67.42,0.927,19.88,20.12,45.66,452.08,21.34759692
"YALE-27-4",0.537607836,0.051783892,48.45084878,18.96026594,2.822187671,19.03204709,2.384921815,68.15847395,38.89444877,29.26402519,67.87,0.916,19.52,20.24,50,420.73,21.4169689
